Product,Description,Quantity,Cost per unit,Our Cost,Amount Paid,Profit
"=""WFMSP Cove Backup-Workstation""",Cloud Backup - 200GB *Billed annually - $20/month  x 12 Months ,16.0,7.0,112.0,1036.0,924.0
"=""WFMSP Slvr Svr""",Silver Package Server Program: - 24/7 Remote Performance Monitoring - Windows Based Patch Management - Endpoint Detection and Recovery (EDR) - Password Management - Server Documents and Critical System State Cloud Based Backups - 2TB - Discounted hourly rate outside of management contract,1.0,50.0,50.0,150.0,100.0
"=""WFMSP EDR-Sentinel One""",Endpoint Detection & Response (Sentinel One) (MRC),354.0,2.5,885.0,2184.77,1299.77
"=""MST-NCE-190-C100-MON-1YR""",Microsoft 365 E3 [NCE] Licensing - Monthly - 1YR Commit ,60.0,20.24,1214.4,1545.0,330.6
"=""WFMSP Cove B/U-Physical Server""",1TB Server & Critical Systems- Cove Backup,1.0,35.0,35.0,125.0,90.0
"=""WFMSP Offsite Backup""",Offsite Backup,30.0,20.0,600.0,1416.95,816.95
"=""WF Managed Network""",Monthly Managed Firewall and Switches (Hardware as a Service),2.0,0.0,0.0,1210.0,1210.0
"=""WF Monthly Maintenance""",Web Fire Remote Network Management Contract ,16.0,0.0,0.0,9229.0,9229.0
"=""WFMSP RMM Workstation""",Remote Monitoring and Management ~ Workstation,330.0,2.99,986.7,6170.0,5183.3
"=""WFMSP O365""",WF O365 Business Email Backup,363.0,12.5,4537.5,6487.88,1950.38
"=""MST-OFC-EE3-C100-MON""",Pax8 - Microsoft Office 365 E3 - Monthly,272.0,20.24,5505.28,5448.25,-57.03
"=""MST-EXO-PL1-C100""",Microsoft Exchange Online (Plan 1),19.0,42.24,802.56,86.63,-715.93
"=""MST-NCE-179-C100-MON""",Exchange Online (Plan 1) [New Commerce Experience],6.0,4.22,25.34,30.0,4.66
"=""WFMSP MDR""",Managed Detection and Response (Huntress),219.0,2.19,479.61,814.66,335.05
"=""WFMSP MS Exchange""",Microsoft Exchange - Plan 1,3.0,3.52,10.56,13.77,3.21
"=""MST-OFC-BUS-C100-MON""",Pax8 - Microsoft 365 Apps for business - Monthly,27.0,7.3,197.21,255.78,58.57
"=""WF Managed Access Control""",Hosted Access Control (per door),1.0,0.0,0.0,20.0,20.0
"=""WF Managed Video Surveillance""",Managed Video Surveillance ,4.0,0.0,0.0,100.0,100.0
"=""WFMSP Managed AV (BitDefender)""",N-Able RMM Managed Anti-Virus (BitDefender) - Cloud based Mgmt,8.0,1.09,8.72,20.0,11.28
"=""WFMSP RMM Server""",Remote Monitoring and Management ~ Server,21.0,3.27,68.67,1724.0,1655.33
"=""WFMSP Sonicwall""","SonicWall Firewall with Comprehensive Gateway Security, 2x SSLVPN Licenses",2.0,50.0,100.0,198.0,98.0
"=""WFMSP Dark Web Scan""",WFMSP Dark Web Scanning (Eddiehillsfuncycles.com plus up to 10 personal emails),3.0,8.13,24.39,75.0,50.61
"=""WFMSP Bullphish""","WFMSP Staff Phishing Education Campaigns (Quarterly, billed monthly)",3.0,8.13,24.39,200.0,175.61
"=""WFMSP RMM""",Remote Monitoring and Management - NAS Appliance,2.0,3.0,6.0,110.0,104.0
"=""MST-NCE-103-C100""",Microsoft 365 Business Premium NCE,1.0,23.23,23.23,26.4,3.17
"=""MST-OFC-BPM-C100""",Microsoft 365 Business Standard,123.0,11.0,1353.0,1813.07,460.07
"=""MST-NCE-100-C100""",Microsoft 365 Apps for Business (NCE),19.0,7.83,148.77,162.61,13.84
"=""WFMSP Slvr Wkst""",Silver Package Workstation,22.0,5.53,121.66,790.0,668.34
"=""WFMSP Slvr Pkg""",Silver Program Monthly,4.0,19.0,76.0,170.0,94.0
"=""WFMSP Auvik""",Network Reporting and Topology,1.0,8.5,8.5,0.0,-8.5
"=""MST-NCE-104-C100""",Microsoft 365 Business Standard - Billed Annually @ $15.00/Month,1.0,13.2,13.2,15.0,1.8
"=""WFMSP Slvr Pkg Fee""",Managed Service Provider Silver Tier Package Fee,1.0,19.0,19.0,50.0,31.0
"=""WFMSP Gold Svr""",Gold Package Server,1.0,34.79,34.79,125.0,90.21
"=""WF Hosted Domain""",Monthly Web Hosting,1.0,0.0,0.0,20.0,20.0
